Folder,SDC count, Crash count, Benign count,Hang count,Total Fi runs
bubble_it,16,30,54,0,100
bubble_rec,15,51,34,0,100
quick_rec,37,44,19,0,100
quick_it,39,37,24,0,100
merge_it,36,43,21,0,100
merge_rec,46,34,20,0,100
insert_rec,35,47,18,0,100
insert_it,25,62,13,0,100
insert_it,135,271,94,0,500
insert_rec,146,271,83,0,500
bubble_it,77,211,212,0,500
bubble_rec,73,250,177,0,500
merge_it,188,217,95,0,500
merge_rec,186,220,94,0,500
quick_it,180,219,101,0,500
quick_rec,168,246,86,0,500
quick_it,103,337,60,0,500
quick_it,66,395,39,0,500
quick_it,41,436,23,0,500
quick_it,25,459,16,0,500
quick_it,9,486,5,0,500
quick_it,5,490,5,0,500
quick_it,6,493,1,0,500
quick_it,2,497,1,0,500
quick_it,1,498,1,0,500
quick_it,0,499,1,0,500
quick_it,0,500,0,0,500
quick_it,0,500,0,0,500
quick_it,0,500,0,0,500
quick_it,0,500,0,0,500
quick_it,205,195,100,0,500
quick_it,178,201,121,0,500
quick_it,201,189,110,0,500
