Folder,SDC count, Crash count, Benign count,Hang count,Total Fi runs
bubble_rec,89,198,213,0,500
bubble_rec,72,206,222,0,500
bubble_rec,89,212,199,0,500
bubble_rec,73,231,196,0,500
bubble_rec,70,214,216,0,500
bubble_rec,75,229,196,0,500
bubble_rec,71,201,228,0,500
bubble_rec,70,199,231,0,500
bubble_rec,77,206,217,0,500
bubble_rec,82,221,197,0,500
bubble_rec,73,215,212,0,500
bubble_rec,76,211,213,0,500
bubble_rec,81,215,204,0,500
bubble_rec,80,210,210,0,500
bubble_rec,74,213,213,0,500
bubble_rec,89,209,202,0,500
bubble_rec,82,215,203,0,500
bubble_rec,72,214,214,0,500
bubble_rec,90,205,205,0,500
bubble_rec,88,197,215,0,500
bubble_rec,77,220,203,0,500
bubble_rec,87,207,206,0,500
bubble_rec,81,223,196,0,500
bubble_rec,64,211,225,0,500
bubble_rec,72,220,208,0,500
bubble_rec,84,206,210,0,500
bubble_rec,94,206,200,0,500
bubble_rec,76,235,189,0,500
bubble_rec,75,211,214,0,500
bubble_rec,82,207,211,0,500
bubble_rec,86,219,195,0,500
bubble_rec,63,220,217,0,500
bubble_rec,72,206,222,0,500
bubble_rec,75,216,209,0,500
bubble_rec,78,203,219,0,500
bubble_rec,81,222,197,0,500
bubble_rec,74,199,227,0,500
bubble_rec,93,204,203,0,500
bubble_rec,73,198,229,0,500
bubble_rec,89,208,203,0,500
bubble_rec,69,227,204,0,500
bubble_rec,81,207,212,0,500
bubble_rec,75,205,220,0,500
bubble_rec,87,202,211,0,500
bubble_rec,82,224,194,0,500
bubble_rec,77,207,216,0,500
bubble_rec,78,207,215,0,500
bubble_rec,85,192,223,0,500
bubble_rec,86,199,215,0,500
bubble_rec,85,214,201,0,500
