Folder,SDC count, Crash count, Benign count,Hang count,Total Fi runs
insert_rec,159,258,83,0,500
insert_rec,145,255,100,0,500
insert_rec,164,250,86,0,500
insert_rec,176,237,87,0,500
insert_rec,183,221,96,0,500
insert_rec,142,276,82,0,500
insert_rec,178,242,80,0,500
insert_rec,142,255,103,0,500
insert_rec,148,259,93,0,500
insert_rec,161,246,93,0,500
insert_rec,169,242,89,0,500
insert_rec,154,229,117,0,500
insert_rec,162,263,75,0,500
insert_rec,176,236,88,0,500
insert_rec,153,256,91,0,500
insert_rec,161,229,110,0,500
insert_rec,170,242,88,0,500
insert_rec,164,237,99,0,500
insert_rec,158,256,86,0,500
insert_rec,188,240,72,0,500
insert_rec,143,266,91,0,500
insert_rec,161,247,92,0,500
insert_rec,182,226,92,0,500
insert_rec,146,252,102,0,500
insert_rec,161,248,91,0,500
insert_rec,140,261,99,0,500
insert_rec,152,256,92,0,500
insert_rec,165,246,89,0,500
insert_rec,168,256,76,0,500
insert_rec,158,259,83,0,500
insert_rec,162,252,86,0,500
insert_rec,148,260,92,0,500
insert_rec,149,254,97,0,500
insert_rec,145,267,88,0,500
insert_rec,177,227,96,0,500
insert_rec,154,257,89,0,500
insert_rec,162,247,91,0,500
insert_rec,154,251,95,0,500
insert_rec,160,240,100,0,500
insert_rec,155,247,98,0,500
insert_rec,172,236,92,0,500
insert_rec,168,242,90,0,500
insert_rec,161,258,81,0,500
insert_rec,161,241,98,0,500
insert_rec,176,216,108,0,500
insert_rec,162,240,98,0,500
insert_rec,157,239,104,0,500
insert_rec,159,258,83,0,500
insert_rec,163,243,94,0,500
insert_rec,149,262,89,0,500
