Folder,SDC count, Crash count, Benign count,Hang count,Total Fi runs
merge_rec,187,193,120,0,500
merge_rec,183,221,96,0,500
merge_rec,222,180,98,0,500
merge_rec,215,197,88,0,500
merge_rec,187,206,107,0,500
merge_rec,197,206,97,0,500
merge_rec,209,200,91,0,500
merge_rec,195,213,92,0,500
merge_rec,194,201,105,0,500
merge_rec,201,200,99,0,500
merge_rec,191,207,102,0,500
merge_rec,202,207,91,0,500
merge_rec,204,175,121,0,500
merge_rec,191,207,102,0,500
merge_rec,196,199,105,0,500
merge_rec,200,205,95,0,500
merge_rec,215,190,95,0,500
merge_rec,202,199,99,0,500
merge_rec,208,193,98,1,500
merge_rec,187,216,97,0,500
merge_rec,208,194,98,0,500
merge_rec,202,208,90,0,500
merge_rec,197,193,110,0,500
merge_rec,196,199,105,0,500
merge_rec,200,211,89,0,500
merge_rec,203,209,88,0,500
merge_rec,218,191,91,0,500
merge_rec,177,201,122,0,500
merge_rec,191,199,110,0,500
merge_rec,207,186,107,0,500
merge_rec,201,199,100,0,500
merge_rec,183,228,89,0,500
merge_rec,191,212,97,0,500
merge_rec,208,185,107,0,500
merge_rec,200,191,109,0,500
merge_rec,201,197,102,0,500
merge_rec,215,188,97,0,500
merge_rec,196,215,89,0,500
merge_rec,199,214,87,0,500
merge_rec,197,197,106,0,500
merge_rec,218,180,102,0,500
merge_rec,218,177,105,0,500
merge_rec,211,206,83,0,500
merge_rec,174,230,96,0,500
merge_rec,194,205,101,0,500
merge_rec,196,200,104,0,500
merge_rec,200,199,101,0,500
merge_rec,201,202,97,0,500
merge_rec,199,194,107,0,500
merge_rec,208,201,91,0,500
