Folder,SDC count, Crash count, Benign count,Hang count,Total Fi runs
quick_rec,181,200,119,0,500
quick_rec,214,177,109,0,500
quick_rec,162,196,142,0,500
quick_rec,188,200,112,0,500
quick_rec,205,191,104,0,500
quick_rec,214,179,107,0,500
quick_rec,205,196,99,0,500
quick_rec,189,209,102,0,500
quick_rec,206,180,114,0,500
quick_rec,181,205,114,0,500
quick_rec,217,186,97,0,500
quick_rec,193,186,121,0,500
quick_rec,196,180,124,0,500
quick_rec,192,183,125,0,500
quick_rec,193,197,110,0,500
quick_rec,195,186,119,0,500
quick_rec,203,181,116,0,500
quick_rec,229,175,96,0,500
quick_rec,192,186,122,0,500
quick_rec,204,192,104,0,500
quick_rec,193,199,108,0,500
quick_rec,220,164,116,0,500
quick_rec,210,171,119,0,500
quick_rec,197,181,122,0,500
quick_rec,208,181,111,0,500
quick_rec,206,179,115,0,500
quick_rec,197,181,122,0,500
quick_rec,210,184,106,0,500
quick_rec,183,204,113,0,500
quick_rec,218,186,96,0,500
quick_rec,209,178,113,0,500
quick_rec,181,191,128,0,500
quick_rec,203,178,119,0,500
quick_rec,194,181,125,0,500
quick_rec,195,186,119,0,500
quick_rec,195,186,119,0,500
quick_rec,190,200,110,0,500
quick_rec,210,171,119,0,500
quick_rec,207,188,105,0,500
quick_rec,197,210,93,0,500
quick_rec,211,181,108,0,500
quick_rec,197,190,113,0,500
quick_rec,176,201,123,0,500
quick_rec,192,205,103,0,500
quick_rec,206,170,124,0,500
quick_rec,195,185,120,0,500
quick_rec,189,191,120,0,500
quick_rec,197,206,97,0,500
quick_rec,191,189,120,0,500
quick_rec,220,169,111,0,500
quick_rec,179,203,118,0,500
quick_rec,211,178,111,0,500
quick_rec,200,205,95,0,500
quick_rec,194,206,100,0,500
quick_rec,195,194,111,0,500
quick_rec,221,168,111,0,500
quick_rec,203,199,98,0,500
quick_rec,188,189,123,0,500
quick_rec,208,176,116,0,500
quick_rec,186,193,121,0,500
quick_rec,191,197,112,0,500
quick_rec,197,202,101,0,500
quick_rec,185,205,110,0,500
quick_rec,199,180,121,0,500
quick_rec,205,200,95,0,500
quick_rec,197,193,110,0,500
quick_rec,195,192,113,0,500
quick_rec,190,182,128,0,500
quick_rec,195,178,127,0,500
quick_rec,201,171,128,0,500
quick_rec,181,194,125,0,500
quick_rec,203,167,130,0,500
quick_rec,205,182,113,0,500
quick_rec,203,188,109,0,500
quick_rec,193,192,115,0,500
quick_rec,194,187,119,0,500
quick_rec,198,183,119,0,500
quick_rec,194,178,128,0,500
quick_rec,207,177,116,0,500
quick_rec,207,173,120,0,500
quick_rec,196,190,114,0,500
quick_rec,227,174,99,0,500
quick_rec,209,171,120,0,500
quick_rec,197,187,116,0,500
quick_rec,202,200,98,0,500
quick_rec,204,187,109,0,500
quick_rec,191,178,131,0,500
quick_rec,208,183,109,0,500
quick_rec,206,182,112,0,500
quick_rec,190,184,126,0,500
quick_rec,188,186,126,0,500
quick_rec,192,207,101,0,500
quick_rec,197,184,119,0,500
quick_rec,190,174,136,0,500
quick_rec,217,159,124,0,500
quick_rec,185,194,121,0,500
quick_rec,184,205,111,0,500
quick_rec,181,194,125,0,500
quick_rec,219,164,117,0,500
quick_rec,193,187,120,0,500
